channel_width,forward,backward,count,total_spawned,propensity
12,1.0,2.0,122,3.0,1.4250130405381698e-05
12,2.0,3.0,79,5.0,9.227543459222575e-06
12,3.0,3.0,72,6.0,8.409913026126904e-06
12,4.0,4.0,43,8.0,5.022586946159123e-06
12,1.0,0.0,39,1.0,4.555369555818739e-06
12,3.0,4.0,34,7.0,3.97134781789326e-06
12,4.0,3.0,29,7.0,3.3873260799677805e-06
12,3.0,2.0,28,5.0,3.2705217323826847e-06
12,2.0,1.0,26,3.0,3.036913037212493e-06
12,5.0,5.0,26,10.0,3.036913037212493e-06
12,2.0,4.0,25,6.0,2.920108689627397e-06
12,4.0,5.0,23,9.0,2.6864999944572053e-06
12,5.0,4.0,18,9.0,2.102478256531726e-06
12,1.5,1.5,13,3.0,1.5184565186062464e-06
12,4.0,6.0,13,10.0,1.5184565186062464e-06
12,1.0,3.0,11,4.0,1.2848478234360548e-06
12,3.0,5.0,11,8.0,1.2848478234360548e-06
12,4.0,2.0,10,6.0,1.1680434758509589e-06
12,5.0,3.0,10,8.0,1.1680434758509589e-06
12,6.0,4.0,9,10.0,1.051239128265863e-06
12,6.0,6.0,9,12.0,1.051239128265863e-06
12,3.0,0.0,8,3.0,9.344347806807671e-07
12,3.0,1.0,8,4.0,9.344347806807671e-07
12,6.0,7.0,8,13.0,9.344347806807671e-07
12,2.0,0.0,8,2.0,9.344347806807671e-07
12,5.0,7.0,7,12.0,8.176304330956712e-07
12,1.0,4.0,7,5.0,8.176304330956712e-07
12,5.0,6.0,6,11.0,7.008260855105754e-07
12,0.0,2.0,6,2.0,7.008260855105754e-07
12,8.0,9.0,6,17.0,7.008260855105754e-07
12,0.0,3.0,6,3.0,7.008260855105754e-07
12,6.0,8.0,6,14.0,7.008260855105754e-07
12,-1.0,2.0,5,1.0,5.840217379254794e-07
12,-1.0,1.0,5,0.0,5.840217379254794e-07
12,7.0,6.0,5,13.0,5.840217379254794e-07
12,7.0,5.0,5,12.0,5.840217379254794e-07
12,0.5,0.5,5,1.0,5.840217379254794e-07
12,6.0,5.0,4,11.0,4.6721739034038356e-07
12,7.0,7.0,4,14.0,4.6721739034038356e-07
12,8.0,7.0,4,15.0,4.6721739034038356e-07
12,2.0,5.0,4,7.0,4.6721739034038356e-07
12,3.0,6.0,4,9.0,4.6721739034038356e-07
12,9.0,6.0,3,15.0,3.504130427552877e-07
12,3.5,3.5,3,7.0,3.504130427552877e-07
12,5.0,2.0,3,7.0,3.504130427552877e-07
12,8.0,5.0,3,13.0,3.504130427552877e-07
12,2.0,6.0,3,8.0,3.504130427552877e-07
12,8.0,6.0,3,14.0,3.504130427552877e-07
12,10.0,12.0,2,22.0,2.3360869517019178e-07
12,7.0,9.0,2,16.0,2.3360869517019178e-07
12,7.0,8.0,2,15.0,2.3360869517019178e-07
12,-1.0,4.0,2,3.0,2.3360869517019178e-07
12,11.0,10.0,2,21.0,2.3360869517019178e-07
12,0.0,5.0,2,5.0,2.3360869517019178e-07
12,8.0,8.0,2,16.0,2.3360869517019178e-07
12,4.0,0.0,2,4.0,2.3360869517019178e-07
12,9.0,5.0,2,14.0,2.3360869517019178e-07
12,9.0,7.0,2,16.0,2.3360869517019178e-07
12,3.0,7.0,2,10.0,2.3360869517019178e-07
12,10.0,9.0,2,19.0,2.3360869517019178e-07
12,6.0,3.0,2,9.0,2.3360869517019178e-07
12,6.0,2.0,2,8.0,2.3360869517019178e-07
12,9.0,8.0,2,17.0,2.3360869517019178e-07
12,5.0,8.0,2,13.0,2.3360869517019178e-07
12,9.0,3.0,1,12.0,1.1680434758509589e-07
12,11.0,8.0,1,19.0,1.1680434758509589e-07
12,10.0,11.0,1,21.0,1.1680434758509589e-07
12,11.0,13.0,1,24.0,1.1680434758509589e-07
12,10.0,7.0,1,17.0,1.1680434758509589e-07
12,5.0,0.0,1,5.0,1.1680434758509589e-07
12,8.0,2.0,1,10.0,1.1680434758509589e-07
12,4.0,9.0,1,13.0,1.1680434758509589e-07
12,-1.0,3.0,1,2.0,1.1680434758509589e-07
12,0.0,4.0,1,4.0,1.1680434758509589e-07
12,1.0,5.0,1,6.0,1.1680434758509589e-07
12,1.0,6.0,1,7.0,1.1680434758509589e-07
12,3.0,8.0,1,11.0,1.1680434758509589e-07
12,3.0,9.0,1,12.0,1.1680434758509589e-07
12,4.5,4.5,1,9.0,1.1680434758509589e-07
12,7.0,10.0,1,17.0,1.1680434758509589e-07
12,5.0,1.0,1,6.0,1.1680434758509589e-07
12,6.0,0.0,1,6.0,1.1680434758509589e-07
12,6.0,11.0,1,17.0,1.1680434758509589e-07
12,7.0,0.0,1,7.0,1.1680434758509589e-07
12,7.0,1.0,1,8.0,1.1680434758509589e-07
12,7.0,4.0,1,11.0,1.1680434758509589e-07
12,13.0,15.0,1,28.0,1.1680434758509589e-07
14,1.0,1.0,743,2.0,8.688618532248505e-05
14,2.0,2.0,191,4.0,2.2335479672401946e-05
14,0.0,1.0,171,1.0,1.9996685989427917e-05
14,1.0,2.0,96,3.0,1.1226209678275323e-05
14,2.0,3.0,94,5.0,1.0992330309977921e-05
14,3.0,3.0,82,6.0,9.589054100193505e-06
14,4.0,4.0,53,8.0,6.197803259881168e-06
14,1.0,0.0,45,1.0,5.262285786691559e-06
14,3.0,4.0,42,7.0,4.911466734245454e-06
14,4.0,5.0,36,9.0,4.209828629353246e-06
14,4.0,3.0,28,7.0,3.274311156163636e-06
14,3.0,2.0,28,5.0,3.274311156163636e-06
14,5.0,4.0,28,9.0,3.274311156163636e-06
14,5.0,5.0,25,10.0,2.9234921037175325e-06
14,2.0,4.0,25,6.0,2.9234921037175325e-06
14,2.0,1.0,23,3.0,2.6896127354201294e-06
14,6.0,5.0,18,11.0,2.104914314676623e-06
14,5.0,6.0,18,11.0,2.104914314676623e-06
14,1.0,3.0,18,4.0,2.104914314676623e-06
14,6.0,6.0,17,12.0,1.987974630527922e-06
14,3.0,5.0,16,8.0,1.8710349463792206e-06
14,3.0,6.0,14,9.0,1.637155578081818e-06
14,0.0,2.0,14,2.0,1.637155578081818e-06
14,4.0,6.0,14,10.0,1.637155578081818e-06
14,3.0,0.0,13,3.0,1.5202158939331167e-06
14,2.0,0.0,13,2.0,1.5202158939331167e-06
14,1.5,1.5,12,3.0,1.4032762097844154e-06
14,2.0,5.0,12,7.0,1.4032762097844154e-06
14,7.0,7.0,12,14.0,1.4032762097844154e-06
14,4.0,2.0,10,6.0,1.1693968414870129e-06
14,5.0,3.0,9,8.0,1.0524571573383115e-06
14,5.0,7.0,9,12.0,1.0524571573383115e-06
