channel_width,channel_length,interval,end,n_simulations,n_pulses,n_fronts_received
6,1000,80,460,30,500,6530
6,1000,80,470,30,500,6511
6,1000,80,480,30,500,6494
6,1000,80,490,30,500,6460
6,1000,80,500,30,500,6435
6,1000,80,510,30,500,6413
6,1000,80,520,30,500,6394
6,1000,80,530,30,500,6362
6,1000,80,540,30,500,6359
6,1000,80,550,30,500,6329
6,1000,80,560,30,500,6302
6,1000,80,570,30,500,6276
6,1000,80,580,30,500,6261
6,1000,80,590,30,500,6260
6,1000,80,600,30,500,6248
6,1000,80,610,30,500,6214
6,1000,80,620,30,500,6197
6,1000,80,630,30,500,6163
6,1000,80,640,30,500,6154
6,1000,80,650,30,500,6136
6,1000,80,660,30,500,6109
6,1000,80,670,30,500,6093
6,1000,80,680,30,500,6063
6,1000,80,690,30,500,6038
6,1000,80,700,30,500,6031
6,1000,80,710,30,500,6026
6,1000,80,720,30,500,5996
6,1000,80,730,30,500,5977
6,1000,80,740,30,500,5971
6,1000,80,750,30,500,5948
6,1000,80,760,30,500,5936
6,1000,80,770,30,500,5920
6,1000,80,780,30,500,5916
6,1000,80,790,30,500,5893
6,1000,80,800,30,500,5867
6,1000,80,810,30,500,5862
6,1000,80,820,30,500,5852
6,1000,80,830,30,500,5846
6,1000,80,840,30,500,5825
6,1000,80,850,30,500,5812
6,1000,80,860,30,500,5783
6,1000,80,870,30,500,5775
6,1000,80,880,30,500,5765
6,1000,80,890,30,500,5758
6,1000,80,900,30,500,5738
6,1000,80,910,30,500,5729
6,1000,80,920,30,500,5708
6,1000,80,930,30,500,5691
6,1000,80,940,30,500,5672
6,1000,80,950,30,500,5663
6,1000,80,960,30,500,5647
6,1000,80,970,30,500,5636
6,1000,80,980,30,500,5631
6,1000,80,990,30,500,5617
6,1000,80,1000,30,500,5588
6,1000,90,2,30,500,15531
6,1000,90,10,30,500,14847
6,1000,90,20,30,500,13246
6,1000,90,30,30,500,12103
6,1000,90,40,30,500,11283
6,1000,90,50,30,500,10682
6,1000,90,60,30,500,10267
6,1000,90,70,30,500,9918
6,1000,90,80,30,500,9686
6,1000,90,90,30,500,9480
6,1000,90,100,30,500,9339
6,1000,90,110,30,500,9168
6,1000,90,120,30,500,9081
6,1000,90,130,30,500,8948
6,1000,90,140,30,500,8857
6,1000,90,150,30,500,8763
6,1000,90,160,30,500,8690
6,1000,90,170,30,500,8587
6,1000,90,180,30,500,8520
6,1000,90,190,30,500,8447
6,1000,90,200,30,500,8409
6,1000,90,210,30,500,8335
6,1000,90,220,30,500,8278
6,1000,90,230,30,500,8219
6,1000,90,240,30,500,8173
6,1000,90,250,30,500,8133
6,1000,90,260,30,500,8084
6,1000,90,270,30,500,8046
6,1000,90,280,30,500,8027
6,1000,90,290,30,500,7970
6,1000,90,300,30,500,7929
6,1000,90,310,30,500,7899
6,1000,90,320,30,500,7845
6,1000,90,330,30,500,7818
6,1000,90,340,30,500,7765
6,1000,90,350,30,500,7734
6,1000,90,360,30,500,7686
6,1000,90,370,30,500,7659
6,1000,90,380,30,500,7624
6,1000,90,390,30,500,7608
6,1000,90,400,30,500,7573
6,1000,90,410,30,500,7550
6,1000,90,420,30,500,7518
6,1000,90,430,30,500,7487
6,1000,90,440,30,500,7480
6,1000,90,450,30,500,7447
6,1000,90,460,30,500,7418
6,1000,90,470,30,500,7388
6,1000,90,480,30,500,7361
6,1000,90,490,30,500,7341
6,1000,90,500,30,500,7303
6,1000,90,510,30,500,7295
6,1000,90,520,30,500,7269
6,1000,90,530,30,500,7241
6,1000,90,540,30,500,7226
6,1000,90,550,30,500,7214
6,1000,90,560,30,500,7176
6,1000,90,570,30,500,7144
6,1000,90,580,30,500,7119
6,1000,90,590,30,500,7090
6,1000,90,600,30,500,7062
6,1000,90,610,30,500,7026
6,1000,90,620,30,500,7025
6,1000,90,630,30,500,7004
6,1000,90,640,30,500,6979
6,1000,90,650,30,500,6962
6,1000,90,660,30,500,6947
6,1000,90,670,30,500,6917
6,1000,90,680,30,500,6893
6,1000,90,690,30,500,6884
6,1000,90,700,30,500,6853
6,1000,90,710,30,500,6836
6,1000,90,720,30,500,6810
6,1000,90,730,30,500,6787
6,1000,90,740,30,500,6788
6,1000,90,750,30,500,6757
6,1000,90,760,30,500,6744
6,1000,90,770,30,500,6724
6,1000,90,780,30,500,6696
6,1000,90,790,30,500,6683
6,1000,90,800,30,500,6679
6,1000,90,810,30,500,6658
6,1000,90,820,30,500,6638
6,1000,90,830,30,500,6615
6,1000,90,840,30,500,6619
6,1000,90,850,30,500,6587
6,1000,90,860,30,500,6579
6,1000,90,870,30,500,6558
6,1000,90,880,30,500,6545
6,1000,90,890,30,500,6518
6,1000,90,900,30,500,6509
6,1000,90,910,30,500,6491
6,1000,90,920,30,500,6477
6,1000,90,930,30,500,6458
6,1000,90,940,30,500,6440
6,1000,90,950,30,500,6427
6,1000,90,960,30,500,6408
6,1000,90,970,30,500,6401
6,1000,90,980,30,500,6380
6,1000,90,990,30,500,6369
6,1000,90,1000,30,500,6338
6,1000,100,2,30,500,15365
6,1000,100,10,30,500,15156
6,1000,100,20,30,500,14499
6,1000,100,30,30,500,13882
6,1000,100,40,30,500,13239
6,1000,100,50,30,500,12692
6,1000,100,60,30,500,12220
6,1000,100,70,30,500,11802
6,1000,100,80,30,500,11487
6,1000,100,90,30,500,11139
6,1000,100,100,30,500,10900
6,1000,100,110,30,500,10690
6,1000,100,120,30,500,10507
6,1000,100,130,30,500,10320
6,1000,100,140,30,500,10179
6,1000,100,150,30,500,10047
6,1000,100,160,30,500,9930
6,1000,100,170,30,500,9795
6,1000,100,180,30,500,9714
6,1000,100,190,30,500,9631
6,1000,100,200,30,500,9552
6,1000,100,210,30,500,9470
6,1000,100,220,30,500,9401
6,1000,100,230,30,500,9325
6,1000,100,240,30,500,9251
6,1000,100,250,30,500,9183
6,1000,100,260,30,500,9113
6,1000,100,270,30,500,9066
6,1000,100,280,30,500,9001
6,1000,100,290,30,500,8941
6,1000,100,300,30,500,8910
6,1000,100,310,30,500,8869
6,1000,100,320,30,500,8833
6,1000,100,330,30,500,8783
6,1000,100,340,30,500,8750
6,1000,100,350,30,500,8695
6,1000,100,360,30,500,8671
6,1000,100,370,30,500,8609
6,1000,100,380,30,500,8566
6,1000,100,390,30,500,8541
6,1000,100,400,30,500,8488
6,1000,100,410,30,500,8454
6,1000,100,420,30,500,8429
6,1000,100,430,30,500,8401
6,1000,100,440,30,500,8368
6,1000,100,450,30,500,8337
6,1000,100,460,30,500,8309
6,1000,100,470,30,500,8292
6,1000,100,480,30,500,8247
6,1000,100,490,30,500,8239
6,1000,100,500,30,500,8201
6,1000,100,510,30,500,8166
6,1000,100,520,30,500,8143
6,1000,100,530,30,500,8096
6,1000,100,540,30,500,8074
6,1000,100,550,30,500,8052
6,1000,100,560,30,500,8027
6,1000,100,570,30,500,7998
6,1000,100,580,30,500,7965
6,1000,100,590,30,500,7937
6,1000,100,600,30,500,7907
6,1000,100,610,30,500,7915
6,1000,100,620,30,500,7875
6,1000,100,630,30,500,7848
6,1000,100,640,30,500,7836
6,1000,100,650,30,500,7810
6,1000,100,660,30,500,7774
6,1000,100,670,30,500,7742
6,1000,100,680,30,500,7717
6,1000,100,690,30,500,7694
6,1000,100,700,30,500,7675
6,1000,100,710,30,500,7646
6,1000,100,720,30,500,7626
6,1000,100,730,30,500,7596
6,1000,100,740,30,500,7578
6,1000,100,750,30,500,7572
6,1000,100,760,30,500,7547
6,1000,100,770,30,500,7531
6,1000,100,780,30,500,7518
6,1000,100,790,30,500,7493
6,1000,100,800,30,500,7472
6,1000,100,810,30,500,7445
6,1000,100,820,30,500,7426
6,1000,100,830,30,500,7405
6,1000,100,840,30,500,7376
6,1000,100,850,30,500,7372
6,1000,100,860,30,500,7357
6,1000,100,870,30,500,7347
6,1000,100,880,30,500,7332
6,1000,100,890,30,500,7311
