,channel_width,channel_length,interval,cond_entropy,efficiency,bitrate_per_min,bitrate_per_hour
11,4,300,112,0.5765802441317014,0.4234197558682986,0.0037805335345383806,0.22683201207230283
12,4,300,116,0.5455067523959993,0.45449324760400067,0.003918045237965523,0.2350827142779314
13,4,300,119,0.5285048096236322,0.4714951903763678,0.003962144456944267,0.23772866741665602
14,4,300,123,0.5043192204691942,0.4956807795308058,0.004029925036835819,0.24179550221014917
15,4,300,127,0.471410087622084,0.5285899123779161,0.0041621252943142995,0.24972751765885798
16,4,300,130,0.45993484808548585,0.5400651519145141,0.0041543473224193396,0.24926083934516038
17,4,300,134,0.44344421511511134,0.5565557848848887,0.004153401379737975,0.24920408278427847
18,4,300,139,0.425915384772831,0.574084615227169,0.004130105145519202,0.24780630873115211
19,4,300,143,0.40683818658885734,0.5931618134111427,0.00414798470916883,0.2488790825501298
20,4,300,147,0.3935968029954521,0.6064031970045479,0.004125191816357469,0.24751150898144814
21,4,300,152,0.37358518968030086,0.6264148103196991,0.004121150067892758,0.24726900407356547
22,4,1000,149,0.774623852281686,0.22537614771831405,0.0015125915954249266,0.0907554957254956
23,4,1000,154,0.7499326552032909,0.2500673447967091,0.001623813927251358,0.09742883563508148
24,4,1000,159,0.7370286415368589,0.2629713584631411,0.0016539079148625228,0.09923447489175137
25,4,1000,163,0.7285214293088275,0.27147857069117254,0.0016655127036268255,0.09993076221760953
26,4,1000,168,0.7174586931145939,0.28254130688540613,0.0016817934933655127,0.10090760960193076
27,4,1000,174,0.7032535009706385,0.29674649902936145,0.0017054396495940313,0.10232637897564188
28,4,1000,179,0.6881416880460256,0.3118583119539744,0.0017422252064467844,0.10453351238680707
29,4,1000,184,0.6818554338971572,0.3181445661028428,0.0017290465549067544,0.10374279329440526
30,4,1000,190,0.6736354338477986,0.32636456615220144,0.0017177082429063234,0.10306249457437941
31,4,1000,196,0.6632026618984843,0.3367973381015157,0.0017183537658240597,0.10310122594944358
32,4,1000,202,0.6547024214779184,0.34529757852208165,0.0017093939530796122,0.10256363718477673
0,3,100,98,0.6340588111873836,0.3659411888126164,0.003734093763394045,0.2240456258036427
1,3,100,101,0.6201977905921441,0.3798022094078559,0.0037604179149292663,0.22562507489575598
2,3,100,105,0.5983670021531746,0.4016329978468254,0.0038250761699697654,0.22950457019818593
3,3,100,108,0.592646436504524,0.407353563495476,0.003771792254587741,0.22630753527526445
4,3,100,111,0.5847195594231717,0.41528044057682834,0.003741265230421877,0.22447591382531262
5,3,100,115,0.5712077445364739,0.42879225546352606,0.0037286283083784876,0.22371769850270926
6,3,100,118,0.5625815839965336,0.4374184160034664,0.003706935728842936,0.22241614373057614
7,3,100,122,0.551244656255163,0.44875534374483705,0.0036783224897117793,0.22069934938270674
8,3,100,125,0.5388153505662866,0.4611846494337134,0.0036894771954697073,0.22136863172818244
9,3,100,129,0.518044429758167,0.481955570241833,0.003736089691797155,0.2241653815078293
10,3,100,133,0.5109155498753962,0.4890844501246038,0.003677326692666194,0.22063960155997162
11,3,300,111,0.8388865052095018,0.1611134947904982,0.0014514729260405243,0.08708837556243146
12,3,300,115,0.8245630115074578,0.1754369884925422,0.001525539030369932,0.09153234182219593
13,3,300,118,0.8205864110447463,0.17941358895525372,0.0015204541436885908,0.09122724862131545
14,3,300,122,0.8153468610696146,0.18465313893038537,0.0015135503191015195,0.09081301914609118
15,3,300,126,0.8034112532807157,0.19658874671928428,0.0015602281485657483,0.0936136889139449
16,3,300,129,0.8012759045817804,0.19872409541821956,0.0015404968637071283,0.0924298118224277
17,3,300,133,0.7901790997833315,0.20982090021666855,0.0015776007535087861,0.09465604521052717
18,3,300,138,0.7811108607805504,0.21888913921944964,0.001586153182749635,0.0951691909649781
19,3,300,142,0.7722956628884944,0.22770433711150562,0.0016035516697993353,0.09621310018796012
20,3,300,146,0.7690807276572543,0.23091927234274567,0.0015816388516626417,0.0948983310997585
21,3,300,151,0.7676778293273565,0.2323221706726435,0.0015385574216731357,0.09231344530038814
22,3,1000,158,0.9771042278448421,0.022895772155157923,0.00014490995034910077,0.008694597020946045
23,3,1000,163,0.9742302663247826,0.0257697336752174,0.00015809652561483067,0.00948579153688984
24,3,1000,168,0.9758164192369603,0.024183580763039725,0.00014394988549428409,0.008636993129657045
25,3,1000,173,0.9720037537503299,0.02799624624967012,0.00016182801300387354,0.009709680780232412
26,3,1000,178,0.9706515092539924,0.02934849074600765,0.000164879161494425,0.0098927496896655
27,3,1000,184,0.9744576526384325,0.025542347361567463,0.00013881710522591013,0.008329026313554607
28,3,1000,189,0.9725343871451625,0.027465612854837507,0.0001453207029356482,0.008719242176138892
29,3,1000,195,0.9678806113932189,0.032119388606781096,0.00016471481336810819,0.00988288880208649
30,3,1000,201,0.9678716077840887,0.03212839221591135,0.00015984274734284255,0.009590564840570553
31,3,1000,207,0.9675018402607228,0.032498159739277166,0.0001569959407694549,0.009419756446167294
32,3,1000,213,0.9683101941314254,0.031689805868574616,0.00014877843130786206,0.008926705878471723
